City,Date,Target,Type,Real,Mkt,Ours,Edge,Signal,Result,Correct,P&L
Toronto,2026-04-14,29°C,exact_c,21.4°C,0.03,0.02,-0.01,SKIP,NO,,0.0
Toronto,2026-04-14,31°C,gte_c,21.4°C,0.015,0.05,0.036,SKIP,NO,,0.0
Amsterdam,2026-04-14,8°C,lte_c,14.2°C,0.011,0.05,0.04,SKIP,NO,,0.0
Amsterdam,2026-04-14,9°C,exact_c,14.2°C,0.011,0.02,0.009,SKIP,NO,,0.0
Amsterdam,2026-04-14,10°C,exact_c,14.2°C,0.07,0.02,-0.05,SKIP,NO,,0.0
Amsterdam,2026-04-14,12°C,exact_c,14.2°C,0.019,0.02,0.001,SKIP,NO,,0.0
Amsterdam,2026-04-14,13°C,exact_c,14.2°C,0.035,0.1,0.065,BUY YES,NO,False,-3.55
Amsterdam,2026-04-14,14°C,exact_c,14.2°C,0.145,0.9,0.755,BUY YES,YES,True,85.5
Amsterdam,2026-04-14,15°C,exact_c,14.2°C,0.355,0.1,-0.255,BUY NO,NO,True,35.5
Amsterdam,2026-04-14,16°C,exact_c,14.2°C,0.36,0.02,-0.34,BUY NO,NO,True,36.0
Amsterdam,2026-04-14,17°C,exact_c,14.2°C,0.045,0.02,-0.025,SKIP,NO,,0.0
Amsterdam,2026-04-14,18°C,gte_c,14.2°C,0.018,0.05,0.032,SKIP,NO,,0.0
Austin,2026-04-14,84°F,gte_f,29.3°C,0.715,0.55,-0.165,BUY NO,YES,False,-28.5
Moscow,2026-04-14,6°C,lte_c,12.9°C,0.015,0.05,0.035,SKIP,NO,,0.0
Moscow,2026-04-14,7°C,exact_c,12.9°C,0.03,0.02,-0.01,SKIP,NO,,0.0
Moscow,2026-04-14,8°C,exact_c,12.9°C,0.129,0.02,-0.109,BUY NO,NO,True,12.9
Moscow,2026-04-14,9°C,exact_c,12.9°C,0.415,0.02,-0.395,BUY NO,NO,True,41.5
Moscow,2026-04-14,10°C,exact_c,12.9°C,0.355,0.02,-0.335,BUY NO,NO,True,35.5
Moscow,2026-04-14,11°C,exact_c,12.9°C,0.115,0.02,-0.095,BUY NO,NO,True,11.5
Moscow,2026-04-14,12°C,exact_c,12.9°C,0.025,0.1,0.076,BUY YES,NO,False,-2.45
Moscow,2026-04-14,13°C,exact_c,12.9°C,0.411,0.9,0.489,BUY YES,YES,True,58.85
Moscow,2026-04-14,14°C,exact_c,12.9°C,0.084,0.1,0.017,SKIP,NO,,0.0
Moscow,2026-04-14,15°C,exact_c,12.9°C,0.015,0.02,0.005,SKIP,NO,,0.0
Warsaw,2026-04-14,10°C,lte_c,14.6°C,0.011,0.05,0.039,SKIP,NO,,0.0
Warsaw,2026-04-14,11°C,exact_c,14.6°C,0.017,0.02,0.003,SKIP,NO,,0.0
Warsaw,2026-04-14,13°C,exact_c,14.6°C,0.013,0.02,0.007,SKIP,NO,,0.0
Warsaw,2026-04-14,14°C,exact_c,14.6°C,0.201,0.1,-0.101,BUY NO,NO,True,20.05
Warsaw,2026-04-14,17°C,exact_c,14.6°C,0.034,0.02,-0.014,SKIP,NO,,0.0
Warsaw,2026-04-14,15°C,exact_c,14.6°C,0.35,0.9,0.55,BUY YES,YES,True,65.0
Warsaw,2026-04-14,16°C,exact_c,14.6°C,0.295,0.1,-0.195,BUY NO,NO,True,29.5
Warsaw,2026-04-14,18°C,exact_c,14.6°C,0.065,0.02,-0.045,SKIP,NO,,0.0
Warsaw,2026-04-14,19°C,exact_c,14.6°C,0.022,0.02,-0.002,SKIP,NO,,0.0
Warsaw,2026-04-14,20°C,gte_c,14.6°C,0.013,0.05,0.038,SKIP,NO,,0.0
Chongqing,2026-04-14,16°C,lte_c,21.1°C,0.029,0.05,0.021,SKIP,NO,,0.0
Chongqing,2026-04-14,17°C,exact_c,21.1°C,0.015,0.02,0.005,SKIP,NO,,0.0
Chongqing,2026-04-14,18°C,exact_c,21.1°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Chongqing,2026-04-14,19°C,exact_c,21.1°C,0.045,0.02,-0.025,SKIP,NO,,0.0
Chongqing,2026-04-14,20°C,exact_c,21.1°C,0.235,0.1,-0.135,BUY NO,NO,True,23.5
Chongqing,2026-04-14,21°C,exact_c,21.1°C,0.38,0.9,0.52,BUY YES,YES,True,62.0
Chongqing,2026-04-14,22°C,exact_c,21.1°C,0.3,0.1,-0.2,BUY NO,NO,True,30.0
Chongqing,2026-04-14,23°C,exact_c,21.1°C,0.205,0.02,-0.185,BUY NO,NO,True,20.5
Chongqing,2026-04-14,24°C,exact_c,21.1°C,0.012,0.02,0.008,SKIP,NO,,0.0
Chongqing,2026-04-14,25°C,exact_c,21.1°C,0.028,0.02,-0.007,SKIP,NO,,0.0
Chongqing,2026-04-14,26°C,gte_c,21.1°C,0.018,0.05,0.033,SKIP,NO,,0.0
Nyc,2026-04-13,61°F,lte_f,26.5°C,0.016,0.05,0.034,SKIP,NO,,0.0
Nyc,2026-04-13,80°F,gte_f,26.5°C,0.05,0.55,0.5,BUY YES,YES,True,95.0
Madrid,2026-04-13,13°C,lte_c,14.4°C,0.035,0.05,0.015,SKIP,NO,,0.0
Madrid,2026-04-13,14°C,exact_c,14.4°C,0.154,0.9,0.746,BUY YES,YES,True,84.55
Madrid,2026-04-13,15°C,exact_c,14.4°C,0.37,0.1,-0.27,BUY NO,NO,True,37.0
Madrid,2026-04-13,16°C,exact_c,14.4°C,0.305,0.02,-0.285,BUY NO,NO,True,30.5
Madrid,2026-04-13,17°C,exact_c,14.4°C,0.125,0.02,-0.105,BUY NO,NO,True,12.5
Madrid,2026-04-13,18°C,exact_c,14.4°C,0.045,0.02,-0.025,SKIP,NO,,0.0
Madrid,2026-04-13,19°C,exact_c,14.4°C,0.026,0.02,-0.006,SKIP,NO,,0.0
Madrid,2026-04-13,20°C,exact_c,14.4°C,0.029,0.02,-0.009,SKIP,NO,,0.0
Madrid,2026-04-13,21°C,exact_c,14.4°C,0.025,0.02,-0.005,SKIP,NO,,0.0
Madrid,2026-04-13,22°C,exact_c,14.4°C,0.015,0.02,0.005,SKIP,NO,,0.0
Madrid,2026-04-13,23°C,gte_c,14.4°C,0.012,0.05,0.038,SKIP,NO,,0.0
Atlanta,2026-04-13,73°F,lte_f,27.3°C,0.015,0.05,0.035,SKIP,NO,,0.0
Atlanta,2026-04-13,92°F,gte_f,27.3°C,0.011,0.05,0.04,SKIP,NO,,0.0
Chengdu,2026-04-13,17°C,lte_c,21.5°C,0.011,0.05,0.039,SKIP,NO,,0.0
Chengdu,2026-04-13,18°C,exact_c,21.5°C,0.018,0.02,0.002,SKIP,NO,,0.0
Chengdu,2026-04-13,19°C,exact_c,21.5°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Chengdu,2026-04-13,20°C,exact_c,21.5°C,0.124,0.02,-0.104,BUY NO,NO,True,12.45
Chengdu,2026-04-13,21°C,exact_c,21.5°C,0.235,0.1,-0.135,BUY NO,NO,True,23.5
Chengdu,2026-04-13,22°C,exact_c,21.5°C,0.39,0.1,-0.29,BUY NO,NO,True,39.0
Chengdu,2026-04-13,23°C,exact_c,21.5°C,0.23,0.02,-0.21,BUY NO,NO,True,23.0
Chengdu,2026-04-13,24°C,exact_c,21.5°C,0.105,0.02,-0.085,BUY NO,NO,True,10.5
Chengdu,2026-04-13,25°C,exact_c,21.5°C,0.024,0.02,-0.004,SKIP,NO,,0.0
Chengdu,2026-04-13,26°C,exact_c,21.5°C,0.028,0.02,-0.007,SKIP,NO,,0.0
Chengdu,2026-04-13,27°C,gte_c,21.5°C,0.014,0.05,0.036,SKIP,NO,,0.0
Chongqing,2026-04-13,14°C,lte_c,22.5°C,0.021,0.05,0.03,SKIP,NO,,0.0
Chongqing,2026-04-13,15°C,exact_c,22.5°C,0.011,0.02,0.009,SKIP,NO,,0.0
Chongqing,2026-04-13,16°C,exact_c,22.5°C,0.013,0.02,0.007,SKIP,NO,,0.0
Chongqing,2026-04-13,17°C,exact_c,22.5°C,0.022,0.02,-0.002,SKIP,NO,,0.0
Chongqing,2026-04-13,18°C,exact_c,22.5°C,0.054,0.02,-0.034,SKIP,NO,,0.0
Chongqing,2026-04-13,19°C,exact_c,22.5°C,0.12,0.02,-0.1,BUY NO,NO,True,12.0
Chongqing,2026-04-13,20°C,exact_c,22.5°C,0.31,0.02,-0.29,BUY NO,NO,True,31.0
Chongqing,2026-04-13,21°C,exact_c,22.5°C,0.27,0.02,-0.25,BUY NO,NO,True,27.0
Chongqing,2026-04-13,22°C,exact_c,22.5°C,0.19,0.1,-0.09,BUY NO,NO,True,19.0
Chongqing,2026-04-13,23°C,exact_c,22.5°C,0.115,0.1,-0.015,SKIP,NO,,0.0
Chongqing,2026-04-13,24°C,gte_c,22.5°C,0.028,0.05,0.023,SKIP,NO,,0.0
Dallas,2026-04-13,82°F,gte_f,28.2°C,0.745,0.55,-0.195,BUY NO,YES,False,-25.5
Sao Paulo,2026-04-13,18°C,lte_c,27.5°C,0.011,0.05,0.04,SKIP,NO,,0.0
Sao Paulo,2026-04-13,19°C,exact_c,27.5°C,0.013,0.02,0.007,SKIP,NO,,0.0
Sao Paulo,2026-04-13,20°C,exact_c,27.5°C,0.013,0.02,0.007,SKIP,NO,,0.0
Sao Paulo,2026-04-13,21°C,exact_c,27.5°C,0.071,0.02,-0.051,BUY NO,NO,True,7.15
Sao Paulo,2026-04-13,22°C,exact_c,27.5°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Sao Paulo,2026-04-13,23°C,exact_c,27.5°C,0.012,0.02,0.008,SKIP,NO,,0.0
Sao Paulo,2026-04-13,24°C,exact_c,27.5°C,0.034,0.02,-0.014,SKIP,NO,,0.0
Sao Paulo,2026-04-13,25°C,exact_c,27.5°C,0.046,0.02,-0.026,SKIP,NO,,0.0
Sao Paulo,2026-04-13,26°C,exact_c,27.5°C,0.21,0.02,-0.19,BUY NO,NO,True,21.0
Sao Paulo,2026-04-13,27°C,exact_c,27.5°C,0.315,0.1,-0.215,BUY NO,NO,True,31.5
Sao Paulo,2026-04-13,28°C,gte_c,27.5°C,0.45,0.05,-0.4,BUY NO,YES,False,-55.0
Toronto,2026-04-13,14°C,lte_c,21.0°C,0.013,0.05,0.037,SKIP,NO,,0.0
Toronto,2026-04-13,15°C,exact_c,21.0°C,0.013,0.02,0.007,SKIP,NO,,0.0
Toronto,2026-04-13,16°C,exact_c,21.0°C,0.018,0.02,0.002,SKIP,NO,,0.0
Toronto,2026-04-13,17°C,exact_c,21.0°C,0.047,0.02,-0.027,SKIP,NO,,0.0
Toronto,2026-04-13,18°C,exact_c,21.0°C,0.03,0.02,-0.01,SKIP,NO,,0.0
Toronto,2026-04-13,19°C,exact_c,21.0°C,0.215,0.02,-0.195,BUY NO,NO,True,21.5
Toronto,2026-04-13,20°C,exact_c,21.0°C,0.268,0.1,-0.168,BUY NO,NO,True,26.75
Toronto,2026-04-13,21°C,exact_c,21.0°C,0.205,0.9,0.695,BUY YES,YES,True,79.5
Toronto,2026-04-13,22°C,exact_c,21.0°C,0.195,0.1,-0.095,BUY NO,NO,True,19.5
Toronto,2026-04-13,23°C,exact_c,21.0°C,0.046,0.02,-0.026,SKIP,NO,,0.0
Toronto,2026-04-13,24°C,gte_c,21.0°C,0.04,0.05,0.011,SKIP,NO,,0.0
Taipei,2026-04-13,28°C,lte_c,30.7°C,0.115,0.05,-0.065,BUY NO,NO,True,11.5
Taipei,2026-04-13,29°C,exact_c,30.7°C,0.165,0.02,-0.145,BUY NO,NO,True,16.5
Taipei,2026-04-13,30°C,exact_c,30.7°C,0.18,0.1,-0.08,BUY NO,NO,True,18.0
Taipei,2026-04-13,31°C,exact_c,30.7°C,0.24,0.9,0.66,BUY YES,YES,True,76.0
Taipei,2026-04-13,32°C,exact_c,30.7°C,0.365,0.1,-0.265,BUY NO,NO,True,36.5
Taipei,2026-04-13,33°C,exact_c,30.7°C,0.088,0.02,-0.068,BUY NO,NO,True,8.85
Taipei,2026-04-13,34°C,exact_c,30.7°C,0.036,0.02,-0.016,SKIP,NO,,0.0
Taipei,2026-04-13,35°C,exact_c,30.7°C,0.076,0.02,-0.056,BUY NO,NO,True,7.65
Taipei,2026-04-13,36°C,exact_c,30.7°C,0.016,0.02,0.004,SKIP,NO,,0.0
Taipei,2026-04-13,37°C,exact_c,30.7°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Taipei,2026-04-13,38°C,gte_c,30.7°C,0.015,0.05,0.035,SKIP,NO,,0.0
Seattle,2026-04-13,45°F,lte_f,12.1°C,0.015,0.05,0.036,SKIP,NO,,0.0
Seattle,2026-04-13,64°F,gte_f,12.1°C,0.019,0.05,0.031,SKIP,NO,,0.0
