timestamp,market_title,city,date,target_temp,forecast_temp,market_prob,our_prob,edge,signal,stake,entry_price,market_url,status,result,pnl
2026-04-17T21:46:18.749208,Will the highest temperature in Buenos Aires be 25°C on April 17?,Buenos Aires,2026-04-17,25°C,22.7,0.885,0.02,-0.865,BUY NO,33.75,0.865,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-17-2026,pending,,0
2026-04-17T21:46:18.750339,Will the highest temperature in Buenos Aires be 26°C on April 17?,Buenos Aires,2026-04-17,26°C,22.7,0.0935,0.02,-0.0735,BUY NO,231.6249999999997,0.0735,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-17-2026,pending,,0
2026-04-17T21:46:21.930514,Will the highest temperature in Buenos Aires be 25°C on April 18?,Buenos Aires,2026-04-18,25°C,24.5,0.23,0.1,-0.13,BUY NO,122.26190476190483,0.21000000000000002,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-18-2026,pending,,0
2026-04-17T21:46:21.930857,Will the highest temperature in Buenos Aires be 26°C on April 18?,Buenos Aires,2026-04-18,26°C,24.5,0.36,0.02,-0.33999999999999997,BUY NO,164.99999999999997,0.33999999999999997,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-18-2026,pending,,0
2026-04-17T21:46:21.931231,Will the highest temperature in Buenos Aires be 27°C on April 18?,Buenos Aires,2026-04-18,27°C,24.5,0.305,0.02,-0.285,BUY NO,178.75000000000003,0.285,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-18-2026,pending,,0
2026-04-17T21:46:21.931344,Will the highest temperature in Buenos Aires be 28°C on April 18?,Buenos Aires,2026-04-18,28°C,24.5,0.115,0.02,-0.095,BUY NO,226.24999999999986,0.095,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-18-2026,pending,,0
2026-04-17T21:46:22.492717,Will the highest temperature in Cape Town be 15°C on April 18?,Cape Town,2026-04-18,15°C,16.8,0.09,0.02,-0.06999999999999999,BUY NO,232.50000000000017,0.06999999999999999,https://polymarket.com/event/highest-temperature-in-cape-town-on-april-18-2026,pending,,0
2026-04-17T21:46:22.493304,Will the highest temperature in Cape Town be 16°C on April 18?,Cape Town,2026-04-18,16°C,16.8,0.235,0.1,-0.13499999999999998,BUY NO,123.22674418604653,0.215,https://polymarket.com/event/highest-temperature-in-cape-town-on-april-18-2026,pending,,0
2026-04-17T21:46:22.493738,Will the highest temperature in Cape Town be 17°C on April 18?,Cape Town,2026-04-18,17°C,16.8,0.305,0.9,0.595,BUY YES,71.62037037037038,0.325,https://polymarket.com/event/highest-temperature-in-cape-town-on-april-18-2026,pending,,0
2026-04-17T21:46:22.494047,Will the highest temperature in Cape Town be 18°C on April 18?,Cape Town,2026-04-18,18°C,16.8,0.215,0.1,-0.11499999999999999,BUY NO,118.68589743589737,0.195,https://polymarket.com/event/highest-temperature-in-cape-town-on-april-18-2026,pending,,0
2026-04-17T21:46:23.714229,Will the highest temperature in Wellington be 18°C on April 18?,Wellington,2026-04-18,18°C,17.2,0.87,0.1,-0.77,BUY NO,33.97058823529412,0.85,https://polymarket.com/event/highest-temperature-in-wellington-on-april-18-2026,pending,,0
2026-04-17T21:46:23.714876,Will the highest temperature in Wellington be 19°C on April 18?,Wellington,2026-04-18,19°C,17.2,0.125,0.02,-0.105,BUY NO,223.7500000000001,0.105,https://polymarket.com/event/highest-temperature-in-wellington-on-april-18-2026,pending,,0
2026-04-17T21:46:26.919242,Will the highest temperature in Seoul be 20°C on April 18?,Seoul,2026-04-18,20°C,23.6,0.155,0.02,-0.135,BUY NO,216.2499999999999,0.135,https://polymarket.com/event/highest-temperature-in-seoul-on-april-18-2026,pending,,0
2026-04-17T21:46:26.919883,Will the highest temperature in Seoul be 21°C or higher on April 18?,Seoul,2026-04-18,21°C,23.6,0.78,0.95,0.16999999999999993,BUY YES,169.99999999999994,0.8,https://polymarket.com/event/highest-temperature-in-seoul-on-april-18-2026,pending,,0
2026-04-17T21:46:28.042617,Will the highest temperature in Moscow be 8°C on April 18?,Moscow,2026-04-18,8°C,8.2,0.305,0.9,0.595,BUY YES,71.62037037037038,0.325,https://polymarket.com/event/highest-temperature-in-moscow-on-april-18-2026,pending,,0
2026-04-17T21:46:28.043090,Will the highest temperature in Moscow be 9°C on April 18?,Moscow,2026-04-18,9°C,8.2,0.385,0.1,-0.28500000000000003,BUY NO,123.95547945205483,0.365,https://polymarket.com/event/highest-temperature-in-moscow-on-april-18-2026,pending,,0
2026-04-17T21:46:28.043403,Will the highest temperature in Moscow be 10°C on April 18?,Moscow,2026-04-18,10°C,8.2,0.15,0.02,-0.13,BUY NO,217.5000000000001,0.13,https://polymarket.com/event/highest-temperature-in-moscow-on-april-18-2026,pending,,0
2026-04-17T21:46:29.170450,Will the highest temperature in Munich be 19°C on April 18?,Munich,2026-04-18,19°C,21.0,0.185,0.02,-0.165,BUY NO,208.7499999999999,0.165,https://polymarket.com/event/highest-temperature-in-munich-on-april-18-2026,pending,,0
2026-04-17T21:46:29.171004,Will the highest temperature in Munich be 20°C on April 18?,Munich,2026-04-18,20°C,21.0,0.325,0.1,-0.225,BUY NO,128.17622950819674,0.305,https://polymarket.com/event/highest-temperature-in-munich-on-april-18-2026,pending,,0
2026-04-17T21:46:29.171154,Will the highest temperature in Munich be 21°C on April 18?,Munich,2026-04-18,21°C,21.0,0.345,0.9,0.555,BUY YES,79.75393700787403,0.365,https://polymarket.com/event/highest-temperature-in-munich-on-april-18-2026,pending,,0
2026-04-17T21:46:29.171279,Will the highest temperature in Munich be 22°C on April 18?,Munich,2026-04-18,22°C,21.0,0.1525,0.1,-0.05249999999999999,BUY NO,85.93160377358488,0.1325,https://polymarket.com/event/highest-temperature-in-munich-on-april-18-2026,pending,,0
2026-04-17T21:46:29.713437,Will the highest temperature in Lagos be 32°C on April 18?,Lagos,2026-04-18,32°C,33.9,0.24,0.02,-0.22,BUY NO,195.00000000000009,0.22,https://polymarket.com/event/highest-temperature-in-lagos-on-april-18-2026,pending,,0
2026-04-17T21:46:29.713789,Will the highest temperature in Lagos be 33°C on April 18?,Lagos,2026-04-18,33°C,33.9,0.29,0.1,-0.18999999999999997,BUY NO,128.42592592592595,0.26999999999999996,https://polymarket.com/event/highest-temperature-in-lagos-on-april-18-2026,pending,,0
2026-04-17T21:46:29.714143,Will the highest temperature in Lagos be 34°C on April 18?,Lagos,2026-04-18,34°C,33.9,0.25,0.9,0.65,BUY YES,60.10273972602741,0.27,https://polymarket.com/event/highest-temperature-in-lagos-on-april-18-2026,pending,,0
2026-04-17T21:46:29.714293,Will the highest temperature in Lagos be 35°C on April 18?,Lagos,2026-04-18,35°C,33.9,0.17,0.1,-0.07,BUY NO,99.16666666666666,0.15000000000000002,https://polymarket.com/event/highest-temperature-in-lagos-on-april-18-2026,pending,,0
2026-04-17T21:46:30.395336,Will the highest temperature in Chengdu be 27°C on April 18?,Chengdu,2026-04-18,27°C,28.6,0.075,0.02,-0.05499999999999999,BUY NO,236.2500000000002,0.05499999999999999,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-18-2026,pending,,0
2026-04-17T21:46:30.395499,Will the highest temperature in Chengdu be 28°C on April 18?,Chengdu,2026-04-18,28°C,28.6,0.215,0.1,-0.11499999999999999,BUY NO,118.68589743589737,0.195,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-18-2026,pending,,0
2026-04-17T21:46:30.395566,Will the highest temperature in Chengdu be 29°C on April 18?,Chengdu,2026-04-18,29°C,28.6,0.345,0.9,0.555,BUY YES,79.75393700787403,0.365,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-18-2026,pending,,0
2026-04-17T21:46:30.395618,Will the highest temperature in Chengdu be 30°C on April 18?,Chengdu,2026-04-18,30°C,28.6,0.28,0.1,-0.18000000000000002,BUY NO,128.07692307692312,0.26,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-18-2026,pending,,0
